cluster,id,lat,lon,area_km2,q99_mm_d,q99_std,q95_mm_d,q95_std,q90_mm_d,q90_std,q10_mm_d,q10_std,q5_mm_d,q5_std,q1_mm_d,q1_std,qmean_mm_yr,qmean_std
6,2298123,27.052,-81.78453,540.65,3.732963333,0.707036667,1.69889,0.368886667,1.340373333,0.28963,0.005556667,0.184443333,0.00889,0.166296667,0.00259,0.155556667,142.4537033,4.208516667
6,2297310,27.19949,-81.98842,528.38,3.641483333,0.522963333,1.636666667,0.30222,1.296666667,0.245926667,0.02185,0.134073333,0.03148,0.13074,0.021113333,0.11704,158.20963,3.14037
6,2298608,27.34366,-82.15676,312.34,4.02833,0.505,1.82,0.295555,1.397775,0.251665,0.02889,0.122225,0.03889,0.120555,0.02556,0.110555,180.55,3.06389
6,2296500,27.37504,-81.79647,886.4,4.405778,0.434002,1.66111,0.29822,1.015776,0.215554,0.016886,0.123334,0.020002,0.109998,0.012446,0.100446,156.445334,2.52622
6,2299950,27.47365,-82.2112,174.27,2.85444,0.58889,1.39333,0.32222,1.29889,0.27556,0.05111,0.13667,0.05556,0.14556,0.03889,0.10889,161.28555,3.14556
5,8194200,27.96501,-98.96697,1220.58,0.933968571,0.355557143,0.082065714,0.273017143,0.018731429,0.158252857,0,0.104921429,0.000634286,0.080952857,0,0.08111,21.34333286,1.83254
5,8189500,28.29195,-97.27916,1808.29,3.646769091,0.403129091,0.405655455,0.199596364,0.199899091,0.141514545,0.000706364,0.081514545,0.000100909,0.071515455,0.000403636,0.079495455,71.77767727,1.703434545
6,8176900,28.86165,-97.22638,925.44,3.864816667,0.260926667,0.549445,0.162406667,0.250925,0.116853333,0.00037,0.065743333,0,0.04852,0.000185,0.063333333,90.29981333,1.384441667
7,2235200,28.87453,-81.48938,297.7,4.68222,0.29889,2.08889,0.20222,1.42,0.15333,0.09444,0.09222,0.06556,0.11,0.03222,0.08,243.41889,2.04111
6,8164000,28.95998,-96.68637,2124,6.855983077,0.265811538,1.22889,0.174188462,0.53829,0.123333077,0.005641538,0.068632308,0.001024615,0.066838462,0.000341538,0.064871538,145.8888892,1.467691538
5,8175000,29.21525,-97.44943,1421.66,4.413457778,0.239505556,0.687901111,0.15852,0.262593333,0.105062222,0,0.079752222,0.000493333,0.05605,0.00148,0.066172222,94.91333222,1.656172222
5,8202700,29.37079,-99.28782,434.75,1.7977775,0.271945,0.4672225,0.1558375,0.26472,0.1191675,0.001945,0.0652775,0,0.05972,0.000555,0.052225,66.0136125,1.3725
5,8190000,29.42857,-99.99729,1961.43,1.213846154,0.224614615,0.381366923,0.130769231,0.224957692,0.102050769,0.00641,0.065383846,0.003163077,0.061452308,0.001537692,0.049656154,57.75504308,1.363419231
5,8164300,29.46691,-96.81276,861.54,8.552778333,0.22389,1.734445,0.149076667,0.724816667,0.106296667,0.001665,0.056853333,0.000925,0.053518333,0,0.059073333,179.6409267,1.324813333
5,8190500,29.47273,-100.23646,1799.09,0.461413636,0.246364545,0.204041818,0.127475455,0.122019091,0.111413636,0.007475455,0.082121818,0.003434545,0.05616,0.002828182,0.04889,40.60868636,1.429090909
5,8195000,29.48857,-99.70478,1028.29,1.79,0.245875714,0.538411429,0.139681429,0.320317143,0.096825714,0.008254286,0.0673,0.004285714,0.064602857,0.001904286,0.051902857,70.52888857,1.388252857
5,8200000,29.56967,-99.24671,249.11,2.33333,0.25889,0.59667,0.16,0.39,0.10889,0.00111,0.06111,0,0.05222,0.00111,0.04778,79.60333,1.19667
5,8178880,29.72384,-99.07004,850.58,2.479334,0.248222,0.698,0.136,0.40378,0.089778,0.006668,0.051332,0.004002,0.05711,0.001776,0.043334,87.443334,1.15
5,8171300,29.97938,-97.91,1067.47,4.89911,0.311778,1.329332,0.116442,0.677334,0.126,0.008446,0.061334,0.004888,0.065998,0.002666,0.047558,139.791554,1.402
7,2245500,29.97941,-81.85204,348.43,8.760555,0.277225,3.230555,0.180555,1.750555,0.134445,0.057775,0.072225,0.041665,0.07667,0.02611,0.075,300.07222,1.485555
5,8165300,30.0641,-99.38699,435.99,1.107036667,0.214073333,0.418146667,0.10148,0.225183333,0.08,0.017776667,0.066666667,0.00963,0.05037,0.01037,0.055186667,55.60518667,1.11111
5,8158700,30.08299,-98.00779,320.34,5.078885,0.255,1.275,0.096665,0.630555,0.126665,0.005555,0.051665,0.000555,0.05778,0,0.04611,139.208335,1.221115
7,2246000,30.1133,-81.90649,451.06,7.97111,0.33333,3.79889,0.2,2.15556,0.15778,0.02222,0.09778,0.01667,0.08333,0.01111,0.08333,287.1,1.91889
7,8070200,30.14549,-95.12438,989.37,9.985778,0.23289,2.72622,0.09489,1.379332,0.104668,0.010002,0.067332,0.008,0.059558,0.001998,0.070666,241.104224,1.268668
7,8070000,30.3366,-95.1041,841.06,9.985778,0.23289,2.72622,0.09489,1.379332,0.104668,0.010002,0.067332,0.008,0.059558,0.001998,0.070666,241.104224,1.268668
5,8109700,30.33938,-96.9047,610.13,7.62,0.302223333,1.075186667,0.14185,0.30259,0.13889,0.00037,0.07963,0.001853333,0.07333,0.001853333,0.065926667,116.3566667,1.165926667
7,8066300,30.48139,-94.77972,383.57,12.05778,0.28444,3.78111,0.143335,1.99389,0.129445,0.02556,0.081665,0.021115,0.073335,0.01,0.06556,329.77611,1.773885
7,2481510,30.48361,-89.27444,800.66,14.660555,0.2397225,5.76389,0.1083325,3.708335,0.1125,0.2516675,0.06361,0.1766675,0.06639,0.131945,0.0705575,649.5150075,1.143055
7,7376000,30.5038,-90.67732,651.61,16.3738875,0.231385,5.7455575,0.15722,3.4227775,0.1163875,0.149165,0.0686125,0.128055,0.055835,0.09833,0.0647225,583.16612,1.260835
7,2481000,30.55861,-89.12194,249.23,15.169445,0.238335,5.957775,0.11056,3.76,0.110555,0.238335,0.06833,0.166115,0.06667,0.120555,0.07,649.55889,1.16722
7,7375000,30.61602,-90.24869,249.35,16.62167,0.220555,5.748335,0.14278,3.51389,0.114445,0.186665,0.050555,0.14722,0.04889,0.10722,0.059445,622.914445,0.973335
5,8104900,30.62575,-97.69112,342.62,4.559445,0.25778,0.914445,0.105,0.39278,0.10889,0.002775,0.05,0,0.065,0.000555,0.048335,105.096665,1.36222
5,8150800,30.64352,-99.09588,557.52,1.438516667,0.192593333,0.471483333,0.10815,0.255923333,0.09,0.01037,0.05,0.004813333,0.047036667,0.00333,0.03926,63.40036667,1.18037
7,8014500,30.69875,-92.89319,1305.15,14.07135667,0.373704444,5.076418889,0.190988889,2.944815556,0.165676667,0.074567778,0.103703333,0.069874444,0.074813333,0.055185556,0.079382222,472.7327144,1.685926667
7,2479300,30.73611,-88.78111,1144.2,14.832444,0.240222,5.740666,0.124222,3.604888,0.117778,0.229112,0.066444,0.17,0.07178,0.135778,0.067556,620.347558,1.131112
7,2479560,30.80908,-88.45863,1454.33,13.48041625,0.20999875,5.3388875,0.1138875,3.391805,0.104585,0.240695,0.065,0.1783325,0.0647225,0.13375125,0.06722125,593.925275,0.98055625
5,8103900,30.91157,-98.03697,86,3.37,0.26333,0.68037,0.099256667,0.30259,0.093336667,0.00037,0.045926667,0,0.063333333,0,0.05,86.34852,1.45074
7,8013000,30.99602,-92.67375,1293.69,13.29095429,0.310635714,4.74016,0.17365,2.606032857,0.130634286,0.063968571,0.08762,0.055395714,0.074762857,0.042221429,0.066348571,430.6047614,1.615398571
7,2479155,31.02528,-89.01667,137.28,13.48611,0.298055,5.1863875,0.158055,3.32861,0.125835,0.21,0.0741675,0.154445,0.08722,0.120275,0.083335,580.5325,1.3594425
7,2369800,31.02768,-86.70996,227.51,12.59667,0.20889,5.38222,0.1,3.44889,0.1,0.30444,0.06556,0.20111,0.06,0.13556,0.07222,621.31112,1.18222
7,7295000,31.22694,-91.29556,466.58,14.96667,0.241483333,5.194446667,0.135186667,3.04889,0.094446667,0.211483333,0.065556667,0.176293333,0.06926,0.112593333,0.064443333,559.0177833,1.15
5,8101000,31.28489,-97.88502,1177.1,2.893332857,0.315398571,0.500634286,0.147458571,0.189841429,0.127777143,0.000158571,0.065871429,0,0.06873,0,0.054125714,74.05143,1.572855714
7,8025500,31.30713,-93.51573,383.02,11.89889,0.17111,4.03222,0.13111,2.09333,0.08222,0.04111,0.05222,0.03,0.04333,0.02111,0.03889,354.82444,1.14556
