cluster,id,lat,lon,area_km2,q99_mm_d,q99_std,q95_mm_d,q95_std,q90_mm_d,q90_std,q10_mm_d,q10_std,q5_mm_d,q5_std,q1_mm_d,q1_std,qmean_mm_yr,qmean_std
7,7292500,31.32472,-91.10944,2073.09,13.27313091,0.210303636,4.654647273,0.1301,2.801211818,0.093837273,0.221819091,0.054140909,0.177777273,0.059597273,0.121717273,0.056869091,518.6814127,1.132523636
7,2361000,31.34295,-85.61049,1781.61,9.964812222,0.207777778,3.346048889,0.081358889,1.985802222,0.08642,0.142468889,0.054567778,0.106543333,0.05,0.067405556,0.0479,390.7972844,0.977407778
7,2472500,31.42583,-89.41472,789.94,14.302888,0.162446,4.891332,0.114222,2.786666,0.101556,0.156,0.046444,0.139332,0.051556,0.109778,0.04622,502.333776,0.988444
7,7291000,31.50306,-90.7775,479.3,12.6125,0.1783325,4.475555,0.119165,2.7341675,0.0858325,0.2375,0.0447225,0.1936125,0.0522225,0.126945,0.054445,518.335835,0.968055
7,2363000,31.59489,-85.783,1292.51,9.343333333,0.169261111,3.439383333,0.080492222,2.111728889,0.070247778,0.181852222,0.053086667,0.141111111,0.051728889,0.089012222,0.038765556,413.2686422,0.827284444
7,2372250,31.59627,-86.40552,1145.22,10.38015857,0.132224286,3.886348571,0.07,2.31508,0.066985714,0.151744286,0.044125714,0.121428571,0.042538571,0.079365714,0.041902857,428.1419057,0.682378571
7,2472000,31.70694,-89.40694,1927.13,14.39376,0.195043846,4.919487692,0.116667692,2.690342308,0.097093077,0.118632308,0.062820769,0.100084615,0.061880769,0.067947692,0.053761538,479.0092292,1.305555385
7,2469800,31.74432,-88.02251,422.68,12.365,0.200555,4.52889,0.095555,2.666665,0.076665,0.165,0.054445,0.12222,0.055555,0.07389,0.04778,488.00555,1.340555
7,2350900,31.76444,-84.25333,1365.12,8.0254175,0.20499875,2.8370825,0.1084725,1.68194625,0.10013875,0.13611125,0.06722125,0.1140275,0.06611125,0.079305,0.05416625,335.673195,1.3483325
7,2216180,31.99139,-82.92194,129.11,9.86111,0.31667,2.56222,0.12111,1.23222,0.13222,0.02111,0.06556,0.01333,0.06444,0.00222,0.07333,259.80778,1.26333
7,2427250,31.99626,-87.06832,675.24,11.349778,0.154888,3.978,0.075778,2.326224,0.075776,0.131332,0.046442,0.100666,0.047334,0.060444,0.036888,431.69267,0.898002
7,2342933,32.01766,-85.29577,290.1,14.195221,0.238,4.780333,0.13789,2.657445,0.102668,0.160556,0.070778,0.13711,0.068779,0.089888,0.061888,501.143888,1.201889
7,7290650,32.01778,-90.87694,1688.73,9.97444,0.14556,3.63222,0.07,2.07556,0.06556,0.09,0.04778,0.07667,0.04889,0.05111,0.04333,370.35333,0.69
7,2349900,32.19556,-83.90222,122.87,10.5533325,0.224165,2.8952775,0.122225,1.50722,0.131665,0.0547225,0.0552775,0.0455525,0.06472,0.02889,0.0636125,288.8188925,1.28139
7,2215100,32.23944,-83.50167,420.29,9.69667,0.19722,2.81389,0.086115,1.525,0.10833,0.05389,0.04833,0.045555,0.062225,0.025,0.055555,283.995555,1.10722
5,8086290,32.64846,-99.00451,732.98,2.1,0.267778,0.190666,0.162222,0.067112,0.100444,0.000444,0.066,0.000222,0.062668,0.000222,0.045334,38.964666,1.326668
5,8086212,32.7329,-99.14063,1584.82,1.723086667,0.297406667,0.16,0.185431111,0.050864444,0.124814444,0.00037,0.081852222,0,0.081975556,0.000863333,0.058888889,36.52308667,1.363578889
7,7346045,32.77792,-94.35742,959.89,11.04111,0.257302857,2.854445714,0.149204286,1.416348571,0.119681429,0.015874286,0.066668571,0.009207143,0.069048571,0.005235714,0.060475714,274.2466657,1.425712857
7,2408540,32.91679,-86.27025,682.41,13.168222,0.137112,4.485778,0.088666,2.690224,0.077556,0.205332,0.050446,0.168666,0.047556,0.095998,0.043778,515.691114,0.83578
7,2198100,32.93766,-81.81539,79.49,8.71889,0.29556,2.63333,0.13667,1.35556,0.13333,0.04556,0.06667,0.03333,0.06333,0.00889,0.07222,282.44444,1.15222
3,9447800,32.95562,-109.53119,781.96,0.641334,0.28889,0.10711,0.162888,0.066442,0.174444,0.007558,0.074444,0.001776,0.083114,0.000666,0.065558,18.197554,1.471556
3,9430500,33.06118,-108.53727,4804.93,0.889272069,0.351033793,0.342874828,0.207433103,0.20092069,0.169732414,0.019348966,0.08226,0.019157241,0.079157586,0.014138621,0.082988276,42.86344793,2.230268276
7,2415000,33.06679,-85.87913,491.38,12.321665,0.132775,4.51111,0.086665,2.75778,0.066665,0.24222,0.048335,0.199445,0.03611,0.120555,0.036665,523.74722,0.661665
7,2212600,33.09985,-83.72351,187.96,9.14444,0.13778,2.64111,0.08,1.49,0.08556,0.05556,0.06111,0.03889,0.04667,0.01444,0.06,299.73556,0.95333
3,9430600,33.16673,-108.64978,190.52,1.88222,0.39,0.67444,0.20333,0.43667,0.18778,0.02778,0.08222,0.02556,0.10333,0.01556,0.07444,82.26667,1.51
7,2221525,33.25236,-83.48128,490.8,9.46,0.12852,2.763703333,0.065183333,1.54926,0.056296667,0.067406667,0.052593333,0.051853333,0.034073333,0.022593333,0.045183333,316.2799967,0.765186667
5,8082700,33.32927,-99.46508,276.04,1.25778,0.36,0.05889,0.27556,0.02222,0.18222,0.00333,0.10667,0.00222,0.08889,0,0.10778,23.65111,2.13333
7,7362100,33.37596,-92.77711,996.08,12.59285429,0.272698571,4.092697143,0.109682857,2.186508571,0.093492857,0.035874286,0.068572857,0.021427143,0.05889,0.011744286,0.060794286,362.6138043,1.309841429
7,2464146,33.41345,-87.51056,15.82,15.489445,0.265555,5.168335,0.12722,2.765,0.115,0.120555,0.06778,0.08778,0.06333,0.05111,0.055,527.72611,1.312225
7,2464360,33.42484,-87.64251,148.62,14.09778,0.18889,4.87667,0.10222,2.74889,0.09111,0.13889,0.04778,0.10333,0.05111,0.06556,0.04333,507.33888,1.18556
7,2464000,33.47928,-87.59723,578.94,16.058222,0.27222,5.277556,0.12689,2.82689,0.12578,0.114444,0.073332,0.087332,0.065778,0.056446,0.055556,550.86889,1.250444
7,2193340,33.68263,-82.85792,87.87,8.8988875,0.1572225,2.7861125,0.081945,1.62889,0.0697225,0.0958325,0.061665,0.0750025,0.04972,0.03472,0.044445,338.6844425,0.9380575
3,9510200,33.69421,-111.5418,425.31,2.214445,0.40611,0.43389,0.16611,0.24,0.156665,0.001665,0.087775,0.001665,0.082225,0,0.06389,45.295,1.94111
7,2196000,33.7293,-82.18179,1408.38,8.466667,0.166557,2.683,0.091001,1.595554,0.084556,0.080891,0.075445,0.059333,0.050222,0.027555,0.051779,314.178111,1.089889
4,9494000,33.73644,-110.16677,1628.23,2.77652875,0.409165,1.060415,0.22763875,0.6623625,0.17805625,0.06500125,0.08874875,0.0606925,0.090555,0.0370825,0.0775,129.61042,2.3268075
5,7315200,33.81288,-98.08504,501.62,4.89,0.249556,0.451558,0.146888,0.14311,0.135332,0,0.060442,0,0.05889,0.000222,0.047112,72.634222,1.194668
4,9492400,33.82227,-109.81454,128.97,4.455741667,0.469443333,1.768518333,0.256296667,1.124261667,0.189998333,0.109815,0.085185,0.091481667,0.102776667,0.077963333,0.082408333,198.5464833,2.486483333
3,9497980,33.82783,-110.85623,516.8,3.421113333,0.318146667,1.014443333,0.176293333,0.55667,0.175926667,0.02074,0.067036667,0.01852,0.071853333,0.012963333,0.06074,115.0551867,1.93667
3,9497800,33.84311,-110.55761,750.86,1.82139,0.3133325,0.4866675,0.171945,0.31028,0.1691675,0.0213875,0.08389,0.020555,0.0741675,0.0111125,0.065,73.05139,1.9830575
3,9512280,33.88726,-111.95404,188.71,1.28667,0.30667,0.25333,0.19667,0.1,0.15667,0,0.07778,0,0.09333,0,0.07333,38.82222,1.89
5,7315700,34.00426,-97.56697,1488.69,4.898055,0.221945,0.71736,0.16847125,0.34083375,0.11708375,0.01319375,0.06638875,0.0095825,0.064585,0.00444375,0.0570825,101.028335,1.21652625
7,2395120,34.24278,-84.88972,84.01,12.92556,0.17111,4.52667,0.06889,2.66667,0.08222,0.15111,0.06556,0.13333,0.03778,0.08111,0.03778,475.46333,0.84556
5,7299670,34.35452,-99.74037,828.36,1.099073333,0.407223333,0.056666667,0.242593333,0.00426,0.152221667,0,0.107038333,0,0.105,0,0.089258333,20.62351833,1.337036667
7,7359610,34.38278,-93.60611,342.23,19.48148333,0.206666667,6.46741,0.106666667,3.812223333,0.086666667,0.086663333,0.056296667,0.055186667,0.044813333,0.038516667,0.04815,646.16704,1.12889
7,2430085,34.46667,-88.28361,40.56,13.504165,0.188335,5.163335,0.09639,2.9916675,0.095835,0.1650025,0.05528,0.141945,0.050555,0.1016675,0.0480575,530.097505,1.00139
4,9505800,34.53864,-111.69404,614.94,2.598335,0.308335,1,0.2391675,0.555555,0.195555,0.044445,0.08528,0.0372225,0.08111,0.029165,0.0747225,107.99139,1.9786125
1,2381600,34.57037,-84.46882,10.32,16.41889,0.23444,6.48,0.14778,4.34333,0.10556,0.32222,0.06667,0.25889,0.06111,0.16667,0.05667,820.89888,1.30667
5,11124500,34.59666,-119.90875,191.52,5.479445,0.39722,1.506665,0.21667,0.719445,0.165,0.013335,0.086665,0.00667,0.07611,0.001665,0.08556,148.473335,2.138885
7,7335700,34.63844,-94.61272,102.57,17.5552775,0.2016675,5.72778,0.099445,3.51472,0.0872225,0.0722225,0.0475,0.0480575,0.0508325,0.0327775,0.0477775,622.7141625,1.126945
4,9505200,34.67474,-111.67209,285.68,2.75222,0.295183333,1.034073333,0.227406667,0.5437,0.19148,0.03889,0.081853333,0.026666667,0.071483333,0.022223333,0.07222,102.43037,1.886296667
4,9505350,34.72863,-111.77571,365.66,3.522775,0.287775,1.21056,0.182775,0.61,0.16778,0.03111,0.074445,0.02,0.070555,0.01778,0.05944,113.865555,1.901115
7,7362587,34.79759,-92.93351,69.77,17.86889,0.24,5.53111,0.10556,3.25333,0.09778,0.04667,0.05556,0.02333,0.05667,0.01333,0.04667,577.32332,1.16222
2,2177000,34.81398,-83.30599,526.77,14.74111,0.277036667,6.72333,0.192223333,4.822963333,0.138516667,0.871483333,0.085926667,0.62963,0.064446667,0.465556667,0.073703333,1001.244073,1.706296667
7,2108000,34.82889,-77.83222,1569.48,9.222666,0.246111,3.721554,0.196778,2.468777,0.105335,0.152555,0.080779,0.094,0.075223,0.051889,0.071666,438.655777,1.467777
7,3592718,34.83556,-88.28806,66.99,13.188055,0.170555,4.934165,0.086945,2.93111,0.0838875,0.175,0.0494475,0.14361,0.04778,0.1000025,0.0386125,528.419445,1.05139
7,7263295,34.8762,-92.77461,119.03,16.570222,0.268666,5.282886,0.120446,2.964444,0.102888,0.052222,0.071778,0.02911,0.066002,0.021554,0.061778,511.91444,1.312444
1,2178400,34.89037,-83.53044,151.28,15.80333,0.29222,7.40333,0.18333,5.17889,0.12667,0.79667,0.07556,0.60111,0.06667,0.42333,0.06778,1080.98553,1.46667
1,3504000,35.1275,-83.61861,134.52,16.79111,0.34111,8.25778,0.27333,5.85,0.15444,0.88111,0.07889,0.68444,0.07,0.47778,0.08889,1191.43111,1.87333
2,3439000,35.14333,-82.82472,178.67,13.93778,0.31333,7.08889,0.22556,5.22,0.17111,1.12,0.09111,0.82,0.07,0.58667,0.07889,1150.29667,1.69778
1,3500000,35.15,-83.37972,361.14,14.69222333,0.332223333,7.28852,0.207036667,5.174073333,0.15185,0.877403333,0.09074,0.676293333,0.073333333,0.46963,0.075183333,1087.803333,1.50852
5,7301500,35.16811,-99.50731,6885.07,0.536046744,0.373849767,0.100516512,0.196926279,0.057880465,0.159198372,0.002299535,0.08111093,0.005141163,0.086408605,0.001575581,0.083023023,19.47372093,1.886486047
7,2102908,35.18278,-79.1775,19.73,6.18222,0.28444,2.62778,0.16111,1.84889,0.12222,0.30444,0.09111,0.19667,0.08111,0.09778,0.08111,385.81556,1.59111
4,9386900,35.28253,-108.55341,184.94,1.3,0.30778,0.48667,0.18667,0.30556,0.15222,0.00889,0.10556,0.01,0.09778,0.00556,0.06222,44.45,1.65889
7,2125000,35.33472,-80.33556,144.55,10.18222,0.17333,2.99222,0.10333,1.73556,0.08556,0.10333,0.04889,0.06556,0.04111,0.03,0.03444,362.76222,0.82222
7,2128000,35.38722,-79.83139,273.48,9.526296667,0.162593333,3.022593333,0.096663333,1.70926,0.082223333,0.103703333,0.036666667,0.067036667,0.04185,0.034443333,0.04296,348.3681467,0.86296
1,2149000,35.42345,-82.1115,203.85,11.14444,0.16667,4.27333,0.11889,2.83556,0.08111,0.37778,0.04444,0.26778,0.04444,0.18778,0.05889,563.26222,0.93556
5,7226500,35.43838,-103.52579,5242.75,0.167407273,0.386733939,0.031145455,0.282491515,0.011851515,0.201784242,0.000100909,0.093265758,0,0.113164848,0.000134545,0.082761212,5.029731212,2.728282424
5,7301410,35.4731,-100.12095,769.67,0.397406667,0.37074,0.101666667,0.177038333,0.05537,0.154261667,0.00074,0.067778333,0.002405,0.075925,0.00111,0.073331667,18.81426,1.720185
1,2152100,35.49306,-81.68222,154.99,11.52056,0.20556,4.345555,0.134445,2.92722,0.111665,0.389445,0.05167,0.28056,0.05611,0.19,0.065555,587.398885,1.167775
7,3604000,35.49591,-87.8328,1163.03,15.72238286,0.198411429,5.2973,0.097775714,3.124284286,0.085555714,0.161905714,0.053015714,0.138097143,0.044444286,0.092698571,0.04746,563.9263471,1.032857143
4,8380500,35.65199,-105.3189,198.06,2.333334,0.37911,1.032668,0.196444,0.652444,0.149778,0.043112,0.091776,0.032446,0.081556,0.019112,0.091334,102.186,1.90111
1,3450000,35.65306,-82.40528,14.08,14.05333,0.18556,6.36444,0.15222,4.07778,0.08889,0.38,0.06667,0.28333,0.06444,0.17444,0.04889,750.43667,1.32
4,8324000,35.66169,-106.74337,1207.95,3.050695,0.31958125,1.5275,0.17694375,0.955,0.136945,0.0840275,0.084305,0.0820825,0.083055,0.0558325,0.07486,141.8765275,1.80472125
1,3460000,35.6675,-83.07361,127.02,15.8819425,0.2738875,7.83861,0.1744425,5.084445,0.1219475,0.6352775,0.0705575,0.475,0.0652775,0.319165,0.06,1004.424167,1.4672225
1,2137727,35.68583,-82.06028,329.54,11.99703667,0.196666667,4.70667,0.13741,3.204443333,0.08815,0.438886667,0.051853333,0.31889,0.048516667,0.217406667,0.05926,635.2940767,1.238886667
4,8378500,35.70837,-105.68252,444.96,4.85074,0.28,2.375186667,0.215553333,1.395926667,0.144073333,0.095186667,0.071853333,0.077036667,0.077036667,0.050373333,0.080373333,226.26333,1.674073333
4,8377900,35.77725,-105.65807,139.03,4.02333,0.21889,1.93667,0.19222,1.15667,0.11889,0.08556,0.05889,0.06778,0.06556,0.04556,0.06778,184.33,1.58222
1,3498500,35.78562,-83.8846,696.76,14.6169425,0.1950025,5.78722,0.1049975,3.600555,0.078335,0.2080575,0.05417,0.155555,0.049165,0.09139,0.0422225,648.17639,1.106665
1,3463300,35.83151,-82.18429,112.16,14.02222,0.21556,6.21222,0.14667,4.18556,0.09889,0.54,0.06222,0.42333,0.05222,0.26889,0.04889,861.21777,1.42
1,2140991,35.83361,-81.71194,521.99,10.95963,0.210366667,4.665926667,0.108886667,3.107036667,0.09889,0.35741,0.05889,0.273333333,0.05889,0.186296667,0.051113333,608.4229633,1.175556667
7,7196900,35.88008,-94.48661,106.35,11.24889,0.19333,3.88889,0.08667,2.30444,0.07333,0.10778,0.05556,0.07333,0.04889,0.04,0.04889,446.12666,0.80444
7,7197000,35.9212,-94.83856,808.45,10.97722167,0.164258333,3.593148333,0.088518333,2.057406667,0.082961667,0.089258333,0.052221667,0.06537,0.04852,0.035556667,0.046668333,396.6346283,0.838703333
1,7056000,35.98318,-92.74755,2149.36,13.80333385,0.16701,4.512563077,0.107607692,2.580854615,0.091538462,0.040768462,0.042734615,0.029146154,0.052393846,0.014615385,0.040855385,465.6193169,1.137949231
7,2096846,35.98722,-79.20611,19.57,9.29667,0.14111,3.022775,0.08833,1.792225,0.06778,0.105,0.03278,0.07111,0.041665,0.035555,0.036115,347.49278,0.813335
1,7060710,35.99535,-92.21265,150.03,15.14667,0.18778,4.43889,0.17556,2.30222,0.11,0.03111,0.04556,0.02333,0.06444,0.00889,0.05111,430.64112,1.32
7,2118500,36.00056,-80.74556,400.53,9.55222,0.198885,3.499445,0.09222,2.29667,0.06833,0.231665,0.04833,0.168885,0.050555,0.09278,0.05111,441.559445,0.64889
1,2111180,36.07139,-81.40306,131.47,11.48556,0.19889,5.22333,0.12111,3.55,0.1,0.39333,0.05556,0.29778,0.06111,0.20444,0.04667,672.76667,0.87889
1,2111500,36.175,-81.16889,233.66,10.34333,0.199445,4.163335,0.11389,2.885555,0.08,0.338335,0.04833,0.25611,0.054445,0.170555,0.050555,545.972775,0.907775
7,2082950,36.18333,-77.87611,460.85,8.385555,0.168885,2.836115,0.096665,1.60111,0.07111,0.05722,0.043335,0.03111,0.038885,0.00722,0.04722,301.63444,0.840555
7,2081500,36.19417,-78.58306,428.37,8.91556,0.146665,2.825555,0.089445,1.609445,0.065555,0.077775,0.034445,0.052225,0.04111,0.02,0.03889,315.50778,0.789445
1,3479000,36.23917,-81.82222,235.6,10.53222,0.22667,5.11111,0.14222,3.47111,0.11333,0.40333,0.06111,0.29778,0.07556,0.20889,0.04667,672.90111,1.22111
4,11143000,36.2458,-121.77329,120.61,23.322526,0.533722,7.69025,0.299888,4.335472,0.275252,0.066332,0.123028,0.049748,0.115832,0.035168,0.121776,717.63939,3.535834
7,7195800,36.25548,-94.43394,38.23,11.42926,0.142223333,3.09889,0.092223333,1.664813333,0.08963,0.07074,0.05074,0.05185,0.044073333,0.03037,0.044816667,355.2029633,0.865556667
7,2112360,36.31139,-80.80722,205.3,9.8,0.200555,3.820555,0.087225,2.584445,0.074445,0.245,0.045,0.18611,0.050555,0.107225,0.047225,486.83667,0.785
6,2053200,36.37083,-77.02556,583.66,8.45889,0.2097225,3.374445,0.13861,2.03278,0.089725,0.0827775,0.060555,0.045835,0.059725,0.0202775,0.0666675,344.689725,0.877225
4,7208500,36.37226,-104.97,159.22,1.648333333,0.406851667,0.67259,0.213703333,0.432038333,0.152593333,0.047221667,0.08463,0.032593333,0.095738333,0.024443333,0.092408333,72.59074167,2.086113333
1,3161000,36.39333,-81.40694,527.86,11.5330575,0.2305525,5.5052775,0.13111,3.741945,0.1097225,0.3950025,0.0577775,0.28361,0.0738875,0.1977775,0.0463875,695.22389,1.0758325
4,8269000,36.43947,-105.50362,163.27,3.04111,0.31778,1.43444,0.18111,0.84222,0.12778,0.09333,0.08222,0.07667,0.07444,0.05,0.07111,136.03333,1.92556
4,8267500,36.54169,-105.5564,96.26,5.71111,0.27111,3.26556,0.21889,1.96667,0.15222,0.17333,0.07667,0.13444,0.08,0.09222,0.07333,293.65,1.86222
7,2074500,36.61958,-79.50419,288.53,8.76167,0.162775,3.017225,0.075555,1.90833,0.06222,0.171665,0.032775,0.121665,0.03389,0.061665,0.033885,383.06111,0.66111
1,7068000,36.622,-90.84762,5318.59,10.96796829,0.186317429,3.590824857,0.114413143,2.042698,0.107714286,0.076095429,0.049110857,0.062572,0.051333429,0.03673,0.045587714,369.4695869,1.119111429
7,7057500,36.62303,-92.24813,1456.44,10.173666,0.155334,3.456,0.094557,1.959333,0.081779,0.08,0.036889,0.06311,0.048111,0.037777,0.038668,354.833447,0.907
